,Category,Question
167,Societal Response ,how is the us reaction to the spread of the covid different from chinas
168,Societal Response ,how has china gotten covid under control
169,Societal Response ,are you afraid of the covid virus
170,Societal Response ,why is the covid fatality rate so high in the us compared to china
171,Societal Response ,why is america ready to reopen before a vaccine is made for covid
172,Societal Response ,why does covid spread fast in the usa what makes it worse
173,Societal Response ,have covid checks been sent
174,Societal Response ,how long did it take to publish the full genomic sequence of covid after it was identified
175,Societal Response ,why is everyone panicked over covid arent we taking things a little too far
176,Societal Response ,which countries have the best procedures in place to contain the covid
177,Societal Response ,is trump managing well on covid
178,Societal Response ,are you panicking over the covid
179,Societal Response ,what is cdc doing about covid
180,Societal Response ,when did the chinese authorities share the sequence of a novel covid
181,Societal Response ,why are americans the most affected nation in the world by covid
182,Societal Response ,why is the us losing to covid despite being a top big rich country
183,Societal Response ,why covid is worse in us
184,Societal Response ,why are republican states more reluctant to issue stay at home orders to mitigate covid as compared to democrats
185,Societal Response ,do you think the covid outbreak is really serious
186,Societal Response ,the usa has 5% of the worlds population but about 30% of covid cases despite being the richest nation on the planet where did it go wrong
187,Societal Response ,how concerned are you about the covid that causes covid
188,Speculation ,will covid stay and last forever
189,Speculation ,would obama handle the covid incident better than trump
190,Speculation ,when will life get back to normal after the onset of covid
191,Speculation ,when covid end
192,Speculation ,how long will we be on lockdown for covid
193,Speculation ,will there be a second wave of the covid infection
194,Speculation ,was covid predicted
195,Speculation ,what are the conspiracy theories surrounding covid
196,Speculation ,is covid likely to be at pandemic proportions for two years
197,Speculation ,when do you think the world will stabilize after covid ends
198,Speculation ,will there be a covid 20 or higher
199,Speculation ,will covid end soon
200,Speculation ,when covid is over
201,Speculation ,what would happen if we just let covid run its course and not practice social distancing
202,Speculation ,what is the official end date to covid
203,Symptoms ,do covid symptoms come on suddenly
204,Symptoms ,what illness is caused by the covid covid
205,Symptoms ,which covid symptom is first
206,Symptoms ,what are the most common symptoms of covid
207,Symptoms ,can covid cause a stroke
208,Symptoms ,are covid symptoms sudden
209,Symptoms ,what covid feels like
210,Testing ,in addition to oral swabs which tests detected the presence of covid virus
211,Testing ,how is covid diagnosed
212,Testing ,how covid is tested
213,Testing ,what could be the implication of covid virus in anal swabs
214,Testing ,where to get tested for covid
215,Testing ,how can i get tested for covid
216,Testing ,what kind of test is being used to diagnose if i have covid
217,Testing ,when to get tested for covid
218,Testing ,are covid tests free
219,Testing ,are covid tests reliable
220,Testing ,are covid test accurate
221,Testing ,which covid test is best
222,Transmission ,does a history of smoking tobacco increase ones risk of catching covid
223,Transmission ,how does this covid spread
224,Transmission ,is covid more serious if you smoke and do people who vape face the same or less risks
225,Transmission ,should contact lens wearers take special precautions to prevent covid
226,Transmission ,how long is someone contagious after getting covid
227,Transmission ,does covid survive freezing
228,Transmission ,can covid live in freezer
229,Transmission ,are smokers or vapers at higher risk
230,Transmission ,is the u.s. food supply safe
231,Transmission ,can i get covid from a package sent from china
232,Transmission ,are pets from a shelter safe to adopt
233,Transmission ,can i get the covid from food food packaging or food containers and preparation area
234,Transmission ,what animals can get covid
235,Transmission ,given the evidence so far will covid most likely go away in the summer
236,Transmission ,how long does covid live on surfaces
237,Transmission ,can i get covid from a food worker handling my food
238,Transmission ,should i stop wearing contacts and switch to glasses
239,Transmission ,can people who recover from covid be infected again
240,Transmission ,do i need to wash my clothes right after encountering other people
241,Transmission ,is covid killing more liberals or conservatives
242,Transmission ,can the heat from a hand dryer kill covid
243,Transmission ,is covid in the air
244,Transmission ,when are you contagious with covid
245,Transmission ,how long is someone infectious after recovery from covid symptoms
246,Transmission ,how can someone spread covid when asymptomatic
247,Transmission ,has anyone gotten covid twice (re infected)
248,Transmission ,do covid deaths have to be cremated
249,Transmission ,how is covid spread
250,Transmission ,can a young and healthy person die from a covid infection
251,Transmission ,after recovering from covid does a person have long term immunity to the virus
252,Transmission ,can someone spread the virus without being sick
253,Transmission ,will high temperatures kill covid
254,Transmission ,is grocery shopping safe during the covid pandemic
255,Transmission ,can someone who has had covid spread the illness to others
256,Transmission ,is covid seasonal
257,Transmission ,how deadly is covid to pets
258,Transmission ,is covid dangerous for those who vape
259,Transmission ,if i vape tobacco or nicotine am i at risk for complications from covid
260,Transmission ,does covid die in freezer
261,Transmission ,can covid reinfect
262,Transmission ,is my child with an underlying medical condition or special healthcare need at higher risk for severe illness from covid
263,Transmission ,can covid survive in heat
264,Transmission ,can humans get covid from dogs or cats
265,Transmission ,does covid live on paper
266,Transmission ,will warm weather stop the outbreak of covid
267,Transmission ,what types of animals are susceptible to covid
268,Transmission ,how does the virus spread
269,Transmission ,is it safe to do grocery shopping in costco amidst covid
270,Transmission ,what animals can carry covid
271,Transmission ,who covid immunity
272,Transmission ,will covid end in summer
273,Transmission ,how does covid spread
274,Transmission ,can covid live in heat
275,Transmission ,why exposure risk of covid is very high for icu staff and what precautions should be taken
276,Transmission ,who covid airborne
277,Transmission ,what is the risk of my child becoming sick with covid
278,Treatment ,what is the survival rate of those infected by covid who are put on a ventilator
279,Treatment ,how should you treat the covid at home
280,Treatment ,will convalescent plasma therapy be the answer to covid
281,Treatment ,will ingesting or injecting disinfectants protect me against covid or kill covid if i already have it
282,Treatment ,are there data showing that chloroquine phosphate or hydroxychloroquine sulfate might benefit patients with covid
283,Treatment ,do covid have a cure
284,Treatment ,why is it being advised to not take ibuprofen if one has covid
285,Treatment ,may health care providers prescribe chloroquine phosphate or hydroxychloroquine sulfate off label to treat patients with covid
286,Treatment ,which are the medicines currently being used to treat covid
287,Treatment ,why should you not take advil during the covid pandemic
288,Treatment ,should covid patients take ibuprofen
289,Treatment ,is any disinfectant injection available for covid
290,Treatment ,has chloroquine been found to be effective against covid
291,Treatment ,do covid have cure
292,Treatment ,can disinfectant sprays or wipes be used on my skin injected inhaled or ingested to prevent or treat covid
0,Comparison ,is covid wkrse then swine flu
1,Comparison ,is covid worse then swin_ flu
2,Comparison ,is covid wrse then swine flu
3,Comparison ,is covid worse thePn swine flu
4,Comparison ,is covid owrse then swine flu
5,Comparison ,is covid owrse then swine flu
6,Comparison ,is covid worse then swine flu
7,Comparison ,covid worse then swine flu
8,Comparison ,is covid worse then swim flu
9,Comparison ,is covid worse t hen swine flu
0,Comparison ,did codid exLst years before scientists discovered it
1,Comparison ,did covid exist yeans b*fore scientists discovered it
2,Comparison ,did covid exist years befoe scientists dcoverd it
3,Comparison ,did covid exist yeaars before scientists diskcover0erd it
4,Comparison ,did coivd exist years before scientists dsicoevrde it
5,Comparison ,did coivd exist years before scientists dsicoevrde it
6,Comparison ,did covid exist years before scientist discovered information technology
7,Comparison ,covid exist years before scientists it
8,Comparison ,doin covid exist years before scientists discovered It's
9,Comparison ,did covid e xist years before scientists dis covered it
0,Comparison ,how are cov8d and sars cov Qimilad
1,Comparison ,how are covi3 and sprs cov similar
2,Comparison ,how are covi and srs cov similar
3,Comparison ,how are wcovid and sars cov siimilhar
4,Comparison ,how are cvoid and sras cov similar
5,Comparison ,how are cvoid and sras cov similar
6,Comparison ,how are covid and sars cov similar
7,Comparison ,are covid and cov similar
8,Comparison ,how approxmatlly covid and sars cov simil
9,Comparison ,how are cov id and sa rs cov similar
0,Comparison ,is c0vid more contagious thab the flu
1,Comparison ,is cyvid more nontCgioTs than the flu
2,Comparison ,is covd more conagiu than the flu
3,Comparison ,is )covid more contagious jthan the flu
4,Comparison ,is covid moer contagiuos than the flu
5,Comparison ,is covid moer contagiuos than the flu
6,Comparison ,is covid more catching than the flu
7,Comparison ,covid more contagious than flu
8,Comparison ,is covid moore contagious then the flu
9,Comparison ,is covid more contagi ous th an the flu
0,Comparison ,is covJd worse than spanish flu
1,Comparison ,is covid worse than sfani#h flu
2,Comparison ,is covid worse than spash flu
3,Comparison ,is coviMd worse than spanish flu
4,Comparison ,is covdi worse than spanish flu
5,Comparison ,is covdi worse than spanish flu
6,Comparison ,is covid worsened than spanish flu
7,Comparison ,is covid than spanish flu
8,Comparison ,is covid worse than spanish flus
9,Comparison ,is covid worse t han spanish flu
0,Comparison ,why worry avout covid when the flu kills so man6 peoplD
1,Comparison ,why worWy about covid when the flu kills so many peoplq
2,Comparison ,why wory about covid hen the flu kills so many peopl
3,Comparison ,why worry about covid when the flu kiOlls so man#y peop4le
4,Comparison ,why worry about ocvid wehn the flu kills so many peolpe
5,Comparison ,why worry about ocvid wehn the flu kills so many peolpe
6,Comparison ,wherefore worry about covid when the flu kills thusly many people
7,Comparison ,why worry about covid when flu kills people
8,Comparison ,wy worry abour covid when the flu kills so many peale
9,Comparison ,why worry about covid w hen the flu kills so m any pe ople
0,Comparison ,whqt covs were known to infect humans befire d4cembeg 2019
1,Comparison ,what covs Cere know1 to infect humans befor# december 2019
2,Comparison ,what cvs were nown to infect humans before december 201
3,Comparison ,what covs 1were known to infect humans before decemIbQer J2019
4,Comparison ,what covs were nkown to infetc humans befoer december 2019
5,Comparison ,what covs were nkown to infetc humans befoer december 2019
6,Comparison ,what covs were known to taint humankind before december 2019
7,Comparison ,what known to infect before december 2019
8,Comparison ,what covs were know to infect homans befour december 2019
9,Comparison ,wh at co vs were known to infect humans before december 20 19
0,Comparison ,Ahat is the difference betwerB seasonal flu and covid
1,Comparison ,whWt is the difference between seasonal flu and coUid
2,Comparison ,what is the difference between saonal flu and coid
3,Comparison ,wha^t is the dirfEfer&ence between seasonal flu and covid
4,Comparison ,waht is the diffreence between seasonal flu and covid
5,Comparison ,waht is the diffreence between seasonal flu and covid
6,Comparison ,what is the difference between seasonal flu and covid
7,Comparison ,what is the difference between and covid
8,Comparison ,what s the diference between seasonal flu and covid
9,Comparison ,what is the di fference between seaso nal flu and covid
0,Comparison ,is the covid paGdekic spmpa#able to the blsck death pandemic
1,Comparison ,is the c6vid pandemic comparable to the black dcath pcndAmic
2,Comparison ,is the covid padmic comaral to the blak death pandemic
3,Comparison ,is the covid panmdegmic comparable to the black deasth pdaEndemic
4,Comparison ,is the coivd apnedmic comparable to the black death pnadeimc
5,Comparison ,is the coivd apnedmic comparable to the black death pnadeimc
6,Comparison ,exist the covid pandemic comparable to the black dying pandemic
7,Comparison ,is the covid pandemic comparable to pandemic
8,Comparison ,shi the covid pandemic compareable to the black dheath pandemic
9,Comparison ,is the covid p andemic comparable to the bla ck dea th pandemic
0,Comparison ,has sovid been around longer
1,Comparison ,has covid been arounv longer
2,Comparison ,has coid been around longer
3,Comparison ,has covid b3een around longer
4,Comparison ,has covid been aruond longer
5,Comparison ,has covid been aruond longer
6,Comparison ,has covid been about longer
7,Comparison ,has covid been around
8,Comparison ,has covid been aroud longer
9,Comparison ,has covid been aro und longer
0,Comparison ,has covid alwQys existed
1,Comparison ,has iovid always existed
2,Comparison ,has ovid always existed
3,Comparison ,has covid alwQays existed
4,Comparison ,has cvoid always existed
5,Comparison ,has cvoid always existed
6,Comparison ,have covid always existed
7,Comparison ,has covid always
8,Comparison ,has covid [[allways existed
9,Comparison ,has c ovid always existed
0,Comparison ,why is covif nothing liLe the flu
1,Comparison ,why is coyid nothing likv the flu
2,Comparison ,why is cvid nothg like the flu
3,Comparison ,why is covid noat0hing likHe the flu
4,Comparison ,why is cvoid onthnig like the flu
5,Comparison ,why is cvoid onthnig like the flu
6,Comparison ,why is covid nothing same the grippe
7,Comparison ,why covid nothing like flu
8,Comparison ,why was covid nothin like the flu
9,Comparison ,why is covid no thing li ke the flu
0,Comparison ,"why of all the hist0r& of the plagues is covkd more cKmp,ex and deadlK2r"
1,Comparison ,why of all the hist$Ly of the plagues is covid morE coWjlex and detdmier
2,Comparison ,why of all the story of the plagu is covid mor cople and deadlier
3,Comparison ,why of all the history of the plagues is cpovid kmore complIe8x and deEadlgier
4,Comparison ,why of all the ihstoyr of the plguaes is covid moer comlepx and deadlier
5,Comparison ,why of all the ihstoyr of the plguaes is covid moer comlepx and deadlier
6,Comparison ,wherefore of all the history of the plagues embody covid more complex and deadlier
7,Comparison ,of all the history of plagues is covid more deadlier
8,Comparison ,why of alo the history of tte plagues is covid moree complex anf deadlier
9,Comparison ,why of all the history of the plagu es is covid m ore comp lex and deadl ier
0,Economic Effects ,why are Ctock markets diLp*ng in response to covid
1,Economic Effects ,why are stock maskeus dipping in response to cavid
2,Economic Effects ,why are stoc markets ippig in response to covid
3,Economic Effects ,why are s3tock mzaNrkets dipping in response to covid
4,Economic Effects ,why are stock markets dpipign in respnoes to covid
5,Economic Effects ,why are stock markets dpipign in respnoes to covid
6,Economic Effects ,why represent stock markets dipping in answer to covid
7,Economic Effects ,are stock markets dipping in response to
8,Economic Effects ,why area stock markets dipping in response two covid
9,Economic Effects ,why are stock marke ts dipping in response to cov id
0,Economic Effects ,whAt business has been affected by xovid the most
1,Economic Effects ,what business has %een affected by co0id the most
2,Economic Effects ,what business has ben affected by covid the mos
3,Economic Effects ,what business has beeBn affected by covaid the most
4,Economic Effects ,what business has eben affected by covid the msot
5,Economic Effects ,what business has eben affected by covid the msot
6,Economic Effects ,what business has been affect by covid the almost
7,Economic Effects ,what business has been affected the most
8,Economic Effects ,what business as seen affected by covid the most
9,Economic Effects ,what business has been affec ted by covid the m ost
0,Economic Effects ,how will covid afGect the fibanxial market
1,Economic Effects ,how wTll covi+ affect the financial market
2,Economic Effects ,how wil covid afect the financial market
3,Economic Effects ,how will covid zaffect the finantcxial market
4,Economic Effects ,how will ocvid affect the financali market
5,Economic Effects ,how will ocvid affect the financali market
6,Economic Effects ,how will covid strike the financial market
7,Economic Effects ,how covid the financial market
8,Economic Effects ,who will covid effect the financial market
9,Economic Effects ,how w ill co vid affect the financial market
0,Economic Effects ,how dectrux4ive has covid been for the world ecoJoNy
1,Economic Effects ,how destructive has covid Aeen for the worjd economy
2,Economic Effects ,how estrucie has covid been for the orld economy
3,Economic Effects ,how destructive has covibd beern for the world economy
4,Economic Effects ,how destructive has ocvid been for the world ceoonmy
5,Economic Effects ,how destructive has ocvid been for the world ceoonmy
6,Economic Effects ,how destructive has covid been for the world economy
7,Economic Effects ,how destructive has covid been the world
8,Economic Effects ,how destructive has covid been for the worldwild oconomy
9,Economic Effects ,how d estructive has covid been for the world econ omy
0,Economic Effects ,is covid an edonomis pandemic
1,Economic Effects ,is Yovid an economic pandemic
2,Economic Effects ,is covid an economic anemic
3,Economic Effects ,is covivd an economic pandemic
4,Economic Effects ,is covid an encoomic pandemic
5,Economic Effects ,is covid an encoomic pandemic
6,Economic Effects ,is covid an economic pandemic
7,Economic Effects ,is an economic pandemic
8,Economic Effects ,iis covid an economic pandemic
9,Economic Effects ,is covid an ec onomic pandemic
0,Economic Effects ,what (ndus5r9es will have a huge Foost once covid lockdo1Ms end
1,Economic Effects ,what indusf!Zes wi9l have a huge boost once coOid lockdowns end
2,Economic Effects ,wha industries will have a hug oost once covid lockdowns end
3,Economic Effects ,what iknd!ustrires will havse a huge boost once covid lockMdown7s end
4,Economic Effects ,waht industries will ahve a huge boost ocne covid lockdowns end
5,Economic Effects ,waht industries will ahve a huge boost ocne covid lockdowns end
6,Economic Effects ,what industries will have a vast boost once covid lockdown end
7,Economic Effects ,what industries will have huge once lockdowns end
8,Economic Effects ,waht industries will have and huige boost once covid lockdowns end
9,Economic Effects ,wh at industri es will have a h uge boost once covid lockdowns end
0,Economic Effects ,how has covid affectWE cryptocurrencies
1,Economic Effects ,how has covid affected cryNtocurrNnc9es
2,Economic Effects ,how has covid fected cryptocurrencies
3,Economic Effects ,how has covid affected c(ryptocurErenc0iwes
4,Economic Effects ,how has covid affceted cryptocurrencies
5,Economic Effects ,how has covid affceted cryptocurrencies
6,Economic Effects ,how has covid affected cryptocurrencies
7,Economic Effects ,how has affected cryptocurrencies
8,Economic Effects ,how has covid affaced cryptocurrencies
9,Economic Effects ,how has cov id affected cryptocurrencies
0,Economic Effects ,which is the best business to syart wmidst covid
1,Economic Effects ,which is the best bus4nesd to start amidst coviE
2,Economic Effects ,which is the bst business to start amids covid
3,Economic Effects ,which is the beSst business to dstart amidst covid
4,Economic Effects ,which is the best business to tsart amidst covdi
5,Economic Effects ,which is the best business to tsart amidst covdi
6,Economic Effects ,which is the best business to start amidst covid
7,Economic Effects ,which is best business start amidst covid
8,Economic Effects ,wichi is the best business tu start amidst covid
9,Economic Effects ,which is the best b usiness to start a midst covid
0,Economic Effects ,is it a good idfa to buy bitcoin dkring the coviR pandemic
1,Economic Effects ,is it a good &dea to buy bitcoin during the coviN pandfJic
2,Economic Effects ,is it a good dea to buy bitcoin dring the covi pandemic
3,Economic Effects ,is it a good kidea to buy bitcoin durKing the coPvid pandemic
4,Economic Effects ,is it a good diea to buy bitcoin duirng the covid apnedmic
5,Economic Effects ,is it a good diea to buy bitcoin duirng the covid apnedmic
6,Economic Effects ,follow it a good idea to buy bitcoin during the covid pandemic
7,Economic Effects ,is it a good to buy during the covid
8,Economic Effects ,is its a good idee the buy bitcoin during the covid pandemic
9,Economic Effects ,is it a go od idea to buy bitcoin du ring the covid pandem ic
0,Economic Effects ,how have the large tech cLmpaniSs beFn affected by cPvid
1,Economic Effects ,how uave the largB tech companies been kffec@ed by covid
2,Economic Effects ,how have the large tech compani been afeced by covi
3,Economic Effects ,how have the lar1ge tech cyompaRnies been avffecte$d by covid
4,Economic Effects ,how have the large tech cmpoanies bene affetcde by covid
5,Economic Effects ,how have the large tech cmpoanies bene affetcde by covid
6,Economic Effects ,how have the orotund tech companionship been affected by covid
7,Economic Effects ,have large tech been affected by covid
8,Economic Effects ,ho have the larg tech companies been afected by covid
9,Economic Effects ,how have the large tech companies be en affec ted by co vid
0,Economic Effects ,can you mzke money online duDing covid country lockdown
1,Economic Effects ,can you make monDy online during covid country hockdow9
2,Economic Effects ,can you mke money online during cvid country lockdown
3,Economic Effects ,can you ma+ke money online during coviYd country lockdown
4,Economic Effects ,can you make money onilne during covid country olckodwn
5,Economic Effects ,can you make money onilne during covid country olckodwn
6,Economic Effects ,can you have money online during covid country lockdown
7,Economic Effects ,you make money online during covid lockdown
8,Economic Effects ,cam you make money onlie during covid country lockdown
9,Economic Effects ,can you make money onl ine during c ovid country lockdown
0,Economic Effects ,is china gaining f#om the covid pSnCemic economically
1,Economic Effects ,is china gaining frHm the covId pandemic economically
2,Economic Effects ,is chin gaining frm the covid pandemic economically
3,Economic Effects ,is china gaining from the covOid pandemic emconommimcally
4,Economic Effects ,is china giainng from the covid panemdic economically
5,Economic Effects ,is china giainng from the covid panemdic economically
6,Economic Effects ,is china gaining from the covid pandemic economically
7,Economic Effects ,is from the covid pandemic economically
8,Economic Effects ,ia china gaining frow the covid pandemic economically
9,Economic Effects ,is c hina gaining from the cov id pandemic economically
0,Economic Effects ,how Vadly has the w8rld eFonom5 shuddered so far because of the cogid outbreak
1,Economic Effects ,how baCly has the eorld economy shdddereT so far because of the cZvid outbreak
2,Economic Effects ,how bady has the wrld enomy shuddered so far cause of the covid outbreak
3,Economic Effects ,how bacdly has the world economy shuddered so far be)clause of the coWvid ouUtboreak
4,Economic Effects ,how badly has the wrold economy shudedred so far because of the covdi otubraek
5,Economic Effects ,how badly has the wrold economy shudedred so far because of the covdi otubraek
6,Economic Effects ,how badly receive the world economy thrill so far because of the covid irruption
7,Economic Effects ,how has the world economy shuddered so because the covid
8,Economic Effects ,how bad hac the world oconomy shuddered so fair because of the covid outbreak
9,Economic Effects ,how b adly has the wo rld economy shuddered so far because of the co vid outbre ak
0,Economic Effects ,is the nlobal economy headed for recession in e020 Fesause of covid
1,Economic Effects ,is the gloTal economy headed for recessilG in 2020 because of clvid
2,Economic Effects ,is the globa economy headed for rcssion in 020 because of covid
3,Economic Effects ,is the global economy headded for recession in 2020 becAauUse of c6ovid
4,Economic Effects ,is the global economy ehaded for recession in 0220 because of ocvid
5,Economic Effects ,is the global economy ehaded for recession in 0220 because of ocvid
6,Economic Effects ,is the global economy head for recession in 2020 because of covid
7,Economic Effects ,is the global economy for in 2020 of covid
8,Economic Effects ,is the gloval ergonomy headed for recession in 2020 because iof covid
9,Economic Effects ,is the global economy h eaded for recession in 2 020 be cause of covid
0,Economic Effects ,will china bdcome superpower after covid
1,Economic Effects ,wiEl china become superpower after covid
2,Economic Effects ,will china become superpower after cvid
3,Economic Effects ,will china become superpower anfter covid
4,Economic Effects ,will china become spurepwoer after covid
5,Economic Effects ,will china become spurepwoer after covid
6,Economic Effects ,will china get superpower after covid
7,Economic Effects ,will china superpower after covid
8,Economic Effects ,will China become superpower after covid
